line,reason,pickup_ts,dropoff_ts,pickup_lat,pickup_lon,dropoff_lat,dropoff_lon,distance,fare
503,bad_distance,,,,,,,,
504,bad_distance,,,,,,,,
505,bad_distance,,,,,,,,
506,bad_distance,,,,,,,,
507,bad_distance,,,,,,,,
508,bad_distance,,,,,,,,
509,bad_distance,,,,,,,,
510,bad_distance,,,,,,,,
511,bad_distance,,,,,,,,
512,bad_distance,,,,,,,,
513,bad_distance,,,,,,,,
514,bad_distance,,,,,,,,
515,bad_distance,,,,,,,,
516,bad_distance,,,,,,,,
517,bad_distance,,,,,,,,
518,bad_distance,,,,,,,,
519,bad_distance,,,,,,,,
520,bad_distance,,,,,,,,
521,bad_distance,,,,,,,,
522,bad_distance,,,,,,,,
523,bad_distance,,,,,,,,
524,bad_distance,,,,,,,,
525,bad_distance,,,,,,,,
526,bad_distance,,,,,,,,
527,bad_distance,,,,,,,,
528,bad_distance,,,,,,,,
529,bad_distance,,,,,,,,
530,bad_distance,,,,,,,,
531,bad_distance,,,,,,,,
532,bad_distance,,,,,,,,
533,bad_distance,,,,,,,,
534,bad_distance,,,,,,,,
535,bad_distance,,,,,,,,
536,bad_distance,,,,,,,,
537,bad_distance,,,,,,,,
538,bad_distance,,,,,,,,
539,bad_distance,,,,,,,,
540,bad_distance,,,,,,,,
541,bad_distance,,,,,,,,
542,bad_distance,,,,,,,,
543,bad_distance,,,,,,,,
544,bad_distance,,,,,,,,
545,bad_distance,,,,,,,,
546,bad_distance,,,,,,,,
547,bad_distance,,,,,,,,
548,bad_distance,,,,,,,,
549,bad_distance,,,,,,,,
550,bad_distance,,,,,,,,
551,bad_distance,,,,,,,,
552,bad_distance,,,,,,,,
553,bad_distance,,,,,,,,
554,bad_distance,,,,,,,,
555,bad_distance,,,,,,,,
556,bad_distance,,,,,,,,
557,bad_distance,,,,,,,,
558,bad_distance,,,,,,,,
559,bad_distance,,,,,,,,
560,bad_distance,,,,,,,,
561,bad_distance,,,,,,,,
562,bad_distance,,,,,,,,
563,bad_distance,,,,,,,,
564,bad_distance,,,,,,,,
565,bad_distance,,,,,,,,
566,bad_distance,,,,,,,,
567,bad_distance,,,,,,,,
568,bad_distance,,,,,,,,
569,bad_distance,,,,,,,,
570,bad_distance,,,,,,,,
571,bad_distance,,,,,,,,
572,bad_distance,,,,,,,,
573,bad_distance,,,,,,,,
574,bad_distance,,,,,,,,
575,bad_distance,,,,,,,,
576,bad_distance,,,,,,,,
